OpenROAD v2.0-19576-gec1bf1a13 
Features included (+) or not (-): +GPU +GUI +Python : None
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 6 thread(s).
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 91 input buffers.
[INFO RSZ-0028] Inserted 224 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    199740
     1000 |     -0.0% |      57 |       0 |             0 |    198740
     2000 |     -0.0% |      93 |       0 |             0 |    197740
     3000 |     -0.0% |     115 |       0 |             0 |    196740
     4000 |     -0.0% |     124 |       0 |             0 |    195740
     5000 |     -0.0% |     135 |       0 |             0 |    194740
     6000 |     -0.0% |     146 |       0 |             0 |    193740
     7000 |     -0.0% |     176 |       0 |             0 |    192740
     8000 |     -0.0% |     185 |       0 |             0 |    191740
     9000 |     -0.0% |     189 |       0 |             0 |    190740
    10000 |     -0.0% |     230 |       0 |             0 |    189740
    11000 |     -0.0% |     231 |       0 |             0 |    188740
    12000 |     -0.0% |     244 |       0 |             0 |    187740
    13000 |     -0.0% |     254 |       0 |             0 |    186740
    14000 |     -0.0% |     279 |       0 |             0 |    185740
    15000 |     -0.0% |     291 |       1 |             1 |    184740
    16000 |     -0.0% |     298 |       1 |             1 |    183740
    17000 |     -0.0% |     303 |       1 |             1 |    182740
    18000 |     -0.0% |     317 |       3 |             3 |    181740
    19000 |     -0.0% |     329 |       3 |             3 |    180740
    20000 |     -0.0% |     329 |       3 |             3 |    179740
    21000 |     -0.0% |     330 |       3 |             3 |    178740
    22000 |     -0.0% |     338 |       3 |             3 |    177740
    23000 |     -0.0% |     347 |       3 |             3 |    176740
    24000 |     -0.0% |     348 |       3 |             3 |    175740
    25000 |     -0.0% |     348 |       3 |             3 |    174740
    26000 |     -0.0% |     352 |       4 |             4 |    173740
    27000 |     +0.0% |     493 |      29 |            29 |    172740
    28000 |     +0.1% |     854 |     109 |           108 |    171740
    29000 |     +0.1% |     964 |     118 |           116 |    170740
    30000 |     +0.1% |    1007 |     121 |           119 |    169740
    31000 |     +0.1% |    1072 |     133 |           131 |    168740
    32000 |     +0.2% |    1176 |     144 |           142 |    167740
    33000 |     +0.2% |    1204 |     151 |           149 |    166740
    34000 |     +0.2% |    1214 |     153 |           151 |    165740
    35000 |     +0.2% |    1225 |     153 |           151 |    164740
    36000 |     +0.2% |    1232 |     153 |           151 |    163740
    37000 |     +0.2% |    1239 |     153 |           151 |    162740
    38000 |     +0.2% |    1239 |     153 |           151 |    161740
    39000 |     +0.2% |    1239 |     153 |           151 |    160740
    40000 |     +0.2% |    1243 |     153 |           151 |    159740
    41000 |     +0.2% |    1251 |     153 |           151 |    158740
    42000 |     +0.2% |    1255 |     153 |           151 |    157740
    43000 |     +0.2% |    1264 |     153 |           151 |    156740
    44000 |     +0.2% |    1270 |     153 |           151 |    155740
    45000 |     +0.2% |    1278 |     153 |           151 |    154740
    46000 |     +0.2% |    1290 |     153 |           151 |    153740
    47000 |     +0.2% |    1304 |     153 |           151 |    152740
    48000 |     +0.2% |    1333 |     153 |           151 |    151740
    49000 |     +0.2% |    1360 |     153 |           151 |    150740
    50000 |     +0.2% |    1381 |     154 |           152 |    149740
    51000 |     +0.2% |    1402 |     154 |           152 |    148740
    52000 |     +0.2% |    1414 |     154 |           152 |    147740
    53000 |     +0.2% |    1422 |     154 |           152 |    146740
    54000 |     +0.2% |    1431 |     154 |           152 |    145740
    55000 |     +0.2% |    1449 |     154 |           152 |    144740
